month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
8/1/2005,Mariana Islands,0,,0,0,,0,0,0,0,,0,0,,,,,,,,,,,,,0
8/1/2005,Maryland,1387,,852,3596,,3,0,0,0,,41,91,,,,,,,,,,,,,5970
8/1/2005,Massachusetts,5850,,1568,1092,,67,140,0,0,,0,0,,,,,,,,,,,,,8717
8/1/2005,Michigan,9819,,2552,11137,,50,0,0,17,,0,283,,,,,,,,,,,,,23858
8/1/2005,Minnesota,5142,,3031,10852,,114,0,0,1,,74,561,,,,,,,,,,,,,19775
8/1/2005,Mississippi,0,,2675,5136,,139,0,46,66,,719,1353,,,,,,,,,,,,,10134
8/1/2005,Missouri,0,,3779,10838,,141,0,4,7,,197,1350,,,,,,,,,,,,,16316
8/1/2005,Montana,302,,1414,3708,,131,0,3,11,,308,959,,,,,,,,,,,,,6836
8/1/2005,Nebraska,1217,,0,2073,,0,0,1,0,,2,127,,,,,,,,,,,,,3420
8/1/2005,Nevada,0,,2294,2235,,128,0,0,0,,224,183,,,,,,,,,,,,,5064
8/1/2005,New Hampshire,1257,,1132,1887,,16,0,0,0,,0,2,,,,,,,,,,,,,4294
8/1/2005,New Jersey,0,,1166,1540,,39,0,0,0,,0,0,,,,,,,,,,,,,2745
8/1/2005,New Mexico,0,,2230,3050,,163,0,1,1,,343,719,,,,,,,,,,,,,6507
8/1/2005,New York,2723,,1167,7461,,27,8,3,0,,1,11,,,,,,,,,,,,,11401
8/1/2005,North Carolina,7733,,144,9880,,105,0,18,27,,1031,1834,,,,,,,,,,,,,20772
8/1/2005,North Dakota,176,,377,2197,,26,0,1,1,,22,153,,,,,,,,,,,,,2953
8/1/2005,Ohio,0,,8229,12215,,576,0,18,55,,492,853,,,,,,,,,,,,,22438
8/1/2005,Oklahoma,0,,3918,6976,,322,0,12,28,,857,1775,,,,,,,,,,,,,13888
8/1/2005,Oregon,28,,3998,6978,,241,0,0,0,,0,0,,,,,,,,,,,,,11245
8/1/2005,Pennsylvania,299,,0,35320,,117,0,0,0,,0,0,,,,,,,,,,,,,35736
